eta,ratio_rbf,l2,mean_train_mse,std_train_mse,mean_train_ccr, std_train_ccr,mean_test_mse,std_test_mse,mean_test_ccr,std_test_ccr
0.01,0.05,False,0.02836512872104821,6.25409765193998e-05,0.0,0.0,0.028475439399585238,0.00022268634494939713,0.0,0.0
0.01,0.15,False,0.0253314165337149,0.00011821422358133632,0.0,0.0,0.04085576556487454,0.0019817169962063987,0.0,0.0
0.01,0.25,False,0.022197389410157344,8.979382413877868e-05,0.0,0.0,0.9496999736602717,0.2907586003664508,0.0,0.0
0.01,0.5,False,0.018397556612974396,8.272544847663343e-05,0.0,0.0,167.94112839017015,14.917458595998303,0.0,0.0
