eta,ratio_rbf,l2,mean_train_mse,std_train_mse,mean_train_ccr,std_train_ccr,mean_test_mse,std_test_mse,mean_test_ccr,std_test_ccr
0.01,0.05,False,0.013816653060068346,0.00018855354047811614,0.0,0.0,0.02218166152729276,0.00024535283663975233,0.0,0.0
0.01,0.15,False,0.011215422268197512,6.806153227899592e-05,0.0,0.0,0.3693894375197578,0.0805030893742238,0.0,0.0
0.01,0.25,False,0.010369996885946139,2.458570556430166e-05,0.0,0.0,1.878878733261621,0.38689031124563134,0.0,0.0
0.01,0.5,False,0.01035709448509359,2.3333654368705254e-06,0.0,0.0,2.091692600123997,0.39019729664720876,0.0,0.0
