eta,ratio_rbf,l2,mean_train_mse,std_train_mse,mean_train_ccr,std_train_ccr,mean_test_mse,std_test_mse,mean_test_ccr,std_test_ccr
1e-05,0.05,False,0.0262427,0.0034409,96.134969,0.6886485,0.0351429,0.0018054,95.963302,0.4494476
1e-05,0.15,False,0.0035828,1.2924e-6,99.386503,0.0,0.0672803,0.0100205,92.293577,1.2444642
1e-05,0.25,False,0.0035805,7.5503e-7,99.386503,0.0,0.0580698,0.0056816,93.577981,0.5802344
1e-05,0.5,False,0.0035800,2.3141e-7,99.386503,0.0,0.0577294,0.0009391,94.128440,0.4494476

