problema,eta,ratio_rbf,l2,mean_train_mse,std_train_mse,mean_train_ccr,std_train_ccr,mean_test_mse,std_test_mse,mean_test_ccr,std_test_ccr
vote,0.1,0.05,False,0.0290820,0.0027380,95.705521,0.5132883,0.0339000,0.0016117,96.146788,0.3669724
nomnist,0.,0.25,True,0.0256708,0.0003047,91.222222,0.3220305,0.0269078,0.0002128,91.266666,0.3887301
vote-regr,0.01,0.05,False,0.0467571,0.0032335,95.153374,0.5948073,0.0523172,0.0040329,93.944954,1.7977906
nomnist-r,0.01,0.25,False,0.4948683,0.0262497,68.066666,1.5260697,0.7167571,0.0105622,60.733333,1.4514360


