v,F,error-train,desv-error-train,error-test,desv-error-test
0,1,0.00171962,0.000203223,0.00171962,0.000203223
0.15,1,0.135976,0.101671,0.321918,0.0767602
0.25,1,0.00488958,0.00505212,0.422386,0.0631378
0,2,0.0100706,0.00260672,0.0100706,0.00260672
0.15,2,0.202419,0.112773,0.3468,0.0926147
0.25,2,0.123597,0.187081,0.39503,0.097215
