Función,Error,media_train,desv_tipica_train,media_test,desv_tipica_test,CCR_Train,desv_CCR_Train,CCR_Test,desv_ccr_Test
sigmoid,0,0.0138162,0.00145426,0.0310026,0.00149828,98.2822,0.349747,96.1468,1.005
sigmoid,0,0.00491883,0.0016438,0.0421957,0.00806634,99.2638,0.168013,94.6789,1.98894

